Month,Description
July,"Khandala, Lonavala, Valley of Flowers, Udaipur, Jaipur, Kodaikanal"
August,"Ooty, Khajuraho, Pachmarhi, Darjeeling, Pahalgam, Kanyakumari, Darjeeling"
September,"Kerala, Ladakh, Mumbai, Rajasthan"
October,"Rajasthan, Arunachal Pradesh"
November,"Ladakh, Himachal Pradesh, Sikkim, Uttarakhand"
December,"Ladakh, Sikkim, Manali, Shimla, Munnar, Goa"
January,"Kerala, Goa, Delhi, Ahmedabad, Tamil Nadu"
February,"Kodaikanal, Rajasthan, Goa, Andaman and Nicobar Islands"
March,"Rajasthan, Shimla, Mathura, Brindavan, Kashmir, Leh, Alleppey, Port Blair"
April,"Darjeeling, Uttarakhand, Shimla, Munnar, Darjeeling, Nainital, Trivandrum, Coonoor"
May,"Kerala, Ladakh, Alleppey, Kasol, Kullu, Kufri, Mussoorie, Wayanad"
June,"Manali, Shimla, Munnar, Nainital, Coorg, Srinagar"
